title	doi	url	issns	journal	authors	issns1	issns2	published_on	last_updated	cited_by_fbwalls_count	cited_by_feeds_count	cited_by_gplus_count	cited_by_msm_count	cited_by_posts_count	cited_by_rdts_count	cited_by_tweeters_count	cited_by_videos_count	cited_by_accounts_count	cited_by_patents_count	mendeley	altmetric_score	is_oa	author.names	issn	citations	CiteScore	SJR	WebQualis	created	deposited	published.online	indexed	issue	issued	member	prefix	publisher	score	source	reference.count	references.count	is.referenced.by.count	subject	type	volume	short.container.title	published.print	language	page	update.policy	archive	subtitle	archive_	na.
“Text-neck”: an epidemic of the modern era of cell phones?	10.1016/j.spinee.2017.11.022	http://dx.doi.org/10.1016/j.spinee.2017.11.022	1529-9430	Spine Journal	Ney Meziat-Filho			2018	1660850403	3	0	0	0	51	0	40	0	43	0	58	25	FALSE	Ney Meziat-Filho, Arthur Sá Ferreira, Leandro Alberto Calazans Nogueira, Felipe José Jandre Reis	1529-9430	5	7.5	1.562	A2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aging-related compensated hypogonadism: Role of metabolomic analysis in physiopathological and therapeutic evaluation	10.1016/j.jsbmb.2018.05.005	http://dx.doi.org/10.1016/j.jsbmb.2018.05.005	0960-0760	Journal of Steroid Biochemistry & Molecular Biology	Gustavo Monnerat			2018	1529396018	0	0	0	0	1	0	1	0	1	0	27	1	FALSE	Gustavo Monnerat, Fernando A.C. Seara, Joseph Albert Medeiros Evaristo, Gabriel Carneiro, Geisa Paulino Caprini Evaristo, Gilberto Domont, Jose Hamilton Matheus Nascimento, Jose Geraldo Mill, Fabio Cesar Souza Nogueira, Antonio Carlos Campos de Carvalho	0960-0760	21	9.6	0.968	A2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Balance control is impaired in adults with sickle cell anaemia	10.1080/08990220.2018.1481829	http://dx.doi.org/10.1080/08990220.2018.1481829	0899-0220	Somatosensory & Motor Research	Priscila Oliveira Silva			2018	1644922759	0	0	0	0	2	0	2	0	2	0	37	2	FALSE	Priscila Oliveira Silva, Arthur Sá Ferreira, Carla Martins de Araujo Lima, Fernando Silva Guimarães, Agnaldo José Lopes	0899-0220	2	NA	NA	B2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Carne de rã em dietas especiais: potencial de utilização como alimento funcional	10.20950/1678-2305.2017.99.106	http://dx.doi.org/10.20950/1678-2305.2017.99.106	1678-2305	Boletim do Instituto de Pesca	Lillian Paranhos Laurindo de OLIVEIRA			2017	1647112186	0	0	0	0	2	0	0	0	2	0	20	3	TRUE	Lillian Paranhos Laurindo de OLIVEIRA, José Teixeira de SEIXAS FILHO, Marcelo Maia PEREIRA, Silvia Conceição Reis Pereira MELLO	1678-2305	4	1.4	0.217	A4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chronic low back pain and back muscle activity during functional tasks	10.1016/j.gaitpost.2018.01.021	http://dx.doi.org/10.1016/j.gaitpost.2018.01.021	0966-6362	Gait & Posture	Maicom Lima			2018	1683295200	4	1	0	1	29	0	15	0	21	0	219	29	FALSE	Maicom Lima, Arthur Sá Ferreira, Felipe José Jandre Reis, Vanessa Paes, Ney Meziat-Filho	0966-6362	30	4.8	0.779	A2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Continuous and Accumulated Bouts of Cycling Matched by Intensity and Energy Expenditure Elicit Similar Acute Blood Pressure Reductions in Prehypertensive Men	10.1519/jsc.0000000000002317	http://dx.doi.org/10.1519/jsc.0000000000002317	1064-8011	Journal of Strength & Conditioning Research	Guilherme F. Fonseca			2018	1644403512	0	0	0	0	4	0	3	0	3	0	28	2	TRUE	Guilherme F. Fonseca, Paulo T.V. Farinatti, Adrian W. Midgley, Arthur Ferreira, Tainah de Paula, Walace D. Monteiro, Felipe A. Cunha	1064-8011	10	6.8	1.3	A2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Education of traditional medicine for people with visual impairments in Brazil: Challenges and strategies	10.1016/j.imr.2020.100687	http://dx.doi.org/10.1016/j.imr.2020.100687	2213-4220	Integrative Medicine Research	Mércia Ferreira Souza			2021	1643365250	0	0	0	0	6	0	3	0	3	0	5	2	TRUE	Mércia Ferreira Souza, Arthur Sá Ferreira	2213-4220	1	5.0	0.475	A3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Effects of Acute Transcranial Direct Current Stimulation on Gait Kinematics of Individuals With Parkinson Disease	10.1097/tgr.0000000000000203	http://dx.doi.org/10.1097/tgr.0000000000000203	0882-7524	Topics in Geriatric Rehabilitation	Débora Cristina Lima da Silva			2018	1644485804	1	0	0	0	3	0	2	0	3	0	66	2	FALSE	Débora Cristina Lima da Silva, Thiago Lemos, Arthur de Sá Ferreira, Carlos Henrique Ramos Horsczaruk, Carla Andressa Pedron, Erika de Carvalho Rodrigues, Laura Alice Santos de Oliveira	0882-7524	10	1.1	0.197	B1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Embryonic stem cell-derived cardiomyocytes for the treatment of doxorubicin-induced cardiomyopathy	10.1186/s13287-018-0788-2	http://dx.doi.org/10.1186/s13287-018-0788-2	1757-6512	Stem Cell Research & Therapy	Danúbia Silva dos Santos			2018	1518009427	0	0	0	0	1	0	1	0	1	0	48	1	TRUE	Danúbia Silva dos Santos, Guilherme Visconde Brasil, Isalira Peroba Rezende Ramos, Fernanda Cristina Paccola Mesquita, Tais Hanae Kasai-Brunswick, Michelle Lopes Araújo Christie, Gustavo Monnerat Cahli, Raiana Andrade Quintanilha Barbosa, Sandro Torrentes da Cunha, Jonathas Xavier Pereira, Emiliano Medei, Antonio Carlos Campos de Carvalho, Adriana Bastos Carvalho, Regina Coeli dos Santos Goldenberg	1757-6512	11	11.8	1.498	A2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Evaluation of larvicidal, adulticidal, and anticholinesterase activities of essential oils of Illicium verum Hook. f., Pimenta dioica (L.) Merr., and Myristica fragrans Houtt. against Zika virus vectors	10.1007/s11356-018-2362-y	http://dx.doi.org/10.1007/s11356-018-2362-y	0944-1344	Environmental Science and Pollution Research	Diego Gomes da Rocha Voris			2018	1557447840	1	0	0	0	2	0	1	0	2	0	81	1	FALSE	Diego Gomes da Rocha Voris, Luciana dos Santos Dias, Josélia Alencar Lima, Keila dos Santos Cople Lima, José Bento Pereira Lima, Antônio Luís dos Santos Lima	0944-1344	33	7.9	0.944	A2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
